pokemon,type
grumpig,psychic
lunatone,psychic
solrock,psychic
baltoy,psychic
claydol,psychic
chimecho,psychic
wynaut,psychic
beldum,psychic
metang,psychic
metagross,psychic
latias,psychic
latios,psychic
jirachi,psychic
deoxys-normal,psychic
chingling,psychic
bronzor,psychic
bronzong,psychic
mime-jr,psychic
gallade,psychic
uxie,psychic
mesprit,psychic
azelf,psychic
cresselia,psychic
victini,psychic
munna,psychic
musharna,psychic
woobat,psychic
swoobat,psychic
sigilyph,psychic
gothita,psychic
gothorita,psychic
gothitelle,psychic
solosis,psychic
duosion,psychic
reuniclus,psychic
elgyem,psychic
beheeyem,psychic
meloetta-aria,psychic
delphox,psychic
espurr,psychic
meowstic-male,psychic
inkay,psychic
malamar,psychic
hoopa,psychic
oranguru,psychic
bruxish,psychic
tapu-lele,psychic
cosmog,psychic
cosmoem,psychic
solgaleo,psychic
lunala,psychic
necrozma,psychic
dottler,psychic
orbeetle,psychic
hatenna,psychic
hattrem,psychic
hatterene,psychic
mr-rime,psychic
indeedee-male,psychic
calyrex,psychic
wyrdeer,psychic
armarouge,psychic
rabsca,psychic
flittle,psychic
espathra,psychic
veluza,psychic
farigiraf,psychic
scream-tail,psychic
iron-leaves,psychic
munkidori,psychic
iron-boulder,psychic
iron-crown,psychic
deoxys-attack,psychic
deoxys-defense,psychic
deoxys-speed,psychic
darmanitan-zen,psychic
meowstic-female,psychic
alakazam-mega,psychic
mewtwo-mega-x,psychic
mewtwo-mega-y,psychic
gardevoir-mega,psychic
medicham-mega,psychic
latias-mega,psychic
latios-mega,psychic
gallade-mega,psychic
slowbro-mega,psychic
metagross-mega,psychic
hoopa-unbound,psychic
raichu-alola,psychic
oricorio-pau,psychic
necrozma-dusk,psychic
necrozma-dawn,psychic
necrozma-ultra,psychic
ponyta-galar,psychic
rapidash-galar,psychic
slowpoke-galar,psychic
slowbro-galar,psychic
mr-mime-galar,psychic
articuno-galar,psychic
slowking-galar,psychic
indeedee-female,psychic
calyrex-ice,psychic
calyrex-shadow,psychic
orbeetle-gmax,psychic
hatterene-gmax,psychic
braviary-hisui,psychic
dewgong,ice
cloyster,ice
jynx,ice
lapras,ice
articuno,ice
sneasel,ice
swinub,ice
piloswine,ice
delibird,ice
smoochum,ice
snorunt,ice
glalie,ice
spheal,ice
sealeo,ice
walrein,ice
regice,ice
snover,ice
abomasnow,ice
weavile,ice
glaceon,ice
mamoswine,ice
froslass,ice
vanillite,ice
vanillish,ice
vanilluxe,ice
cubchoo,ice
beartic,ice
cryogonal,ice
kyurem,ice
amaura,ice
aurorus,ice
bergmite,ice
avalugg,ice
crabominable,ice
mr-rime,ice
snom,ice
frosmoth,ice
eiscue-ice,ice
arctozolt,ice
arctovish,ice
glastrier,ice
cetoddle,ice
cetitan,ice
iron-bundle,ice
frigibax,ice
arctibax,ice
baxcalibur,ice
chien-pao,ice
rotom-frost,ice
castform-snowy,ice
kyurem-black,ice
kyurem-white,ice
abomasnow-mega,ice
glalie-mega,ice
sandshrew-alola,ice
sandslash-alola,ice
vulpix-alola,ice
ninetales-alola,ice
mr-mime-galar,ice
darumaka-galar,ice
darmanitan-galar-standard,ice
darmanitan-galar-zen,ice
eiscue-noice,ice
calyrex-ice,ice
lapras-gmax,ice
avalugg-hisui,ice
dratini,dragon
dragonair,dragon
dragonite,dragon
kingdra,dragon
vibrava,dragon
flygon,dragon
altaria,dragon
bagon,dragon
shelgon,dragon
salamence,dragon
latias,dragon
latios,dragon
rayquaza,dragon
gible,dragon
gabite,dragon
garchomp,dragon
dialga,dragon
palkia,dragon
giratina-altered,dragon
axew,dragon
fraxure,dragon
haxorus,dragon
druddigon,dragon
deino,dragon
zweilous,dragon
hydreigon,dragon
reshiram,dragon
zekrom,dragon
kyurem,dragon
dragalge,dragon
tyrunt,dragon
tyrantrum,dragon
goomy,dragon
sliggoo,dragon
goodra,dragon
noibat,dragon
noivern,dragon
zygarde-50,dragon
turtonator,dragon
drampa,dragon
jangmo-o,dragon
hakamo-o,dragon
kommo-o,dragon
guzzlord,dragon
naganadel,dragon
applin,dragon
flapple,dragon
appletun,dragon
dracozolt,dragon
dracovish,dragon
duraludon,dragon
dreepy,dragon
drakloak,dragon
dragapult,dragon
eternatus,dragon
regidrago,dragon
cyclizar,dragon
tatsugiri-curly,dragon
frigibax,dragon
arctibax,dragon
baxcalibur,dragon
roaring-moon,dragon
koraidon,dragon
miraidon,dragon
walking-wake,dragon
dipplin,dragon
archaludon,dragon
hydrapple,dragon
gouging-fire,dragon
raging-bolt,dragon
giratina-origin,dragon
kyurem-black,dragon
kyurem-white,dragon
charizard-mega-x,dragon
ampharos-mega,dragon
garchomp-mega,dragon
latias-mega,dragon
latios-mega,dragon
sceptile-mega,dragon
altaria-mega,dragon
rayquaza-mega,dragon
salamence-mega,dragon
exeggutor-alola,dragon
zygarde-10-power-construct,dragon
zygarde-50-power-construct,dragon
zygarde-complete,dragon
kommo-o-totem,dragon
necrozma-ultra,dragon
zygarde-10,dragon
eternatus-eternamax,dragon
flapple-gmax,dragon
appletun-gmax,dragon
duraludon-gmax,dragon
sliggoo-hisui,dragon
goodra-hisui,dragon
dialga-origin,dragon
palkia-origin,dragon
tatsugiri-droopy,dragon
tatsugiri-stretchy,dragon
koraidon-limited-build,dragon
koraidon-sprinting-build,dragon
koraidon-swimming-build,dragon
koraidon-gliding-build,dragon
miraidon-low-power-mode,dragon
miraidon-drive-mode,dragon
miraidon-aquatic-mode,dragon
miraidon-glide-mode,dragon
umbreon,dark
murkrow,dark
sneasel,dark
houndour,dark
houndoom,dark
tyranitar,dark
poochyena,dark
mightyena,dark
nuzleaf,dark
shiftry,dark
sableye,dark
carvanha,dark
sharpedo,dark
cacturne,dark
crawdaunt,dark
absol,dark
honchkrow,dark
stunky,dark
skuntank,dark
spiritomb,dark
drapion,dark
weavile,dark
darkrai,dark
purrloin,dark
liepard,dark
sandile,dark
krokorok,dark
krookodile,dark
scraggy,dark
scrafty,dark
zorua,dark
zoroark,dark
pawniard,dark
bisharp,dark
vullaby,dark
mandibuzz,dark
deino,dark
zweilous,dark
hydreigon,dark
greninja,dark
pangoro,dark
inkay,dark
malamar,dark
yveltal,dark
incineroar,dark
guzzlord,dark
nickit,dark
thievul,dark
impidimp,dark
morgrem,dark
grimmsnarl,dark
obstagoon,dark
morpeko-full-belly,dark
urshifu-single-strike,dark
zarude,dark
overqwil,dark
meowscarada,dark
lokix,dark
maschiff,dark
mabosstiff,dark
bombirdier,dark
kingambit,dark
brute-bonnet,dark
iron-jugulis,dark
wo-chien,dark
chien-pao,dark
ting-lu,dark
chi-yu,dark
roaring-moon,dark
gyarados-mega,dark
houndoom-mega,dark
tyranitar-mega,dark
absol-mega,dark
sableye-mega,dark
sharpedo-mega,dark
hoopa-unbound,dark
rattata-alola,dark
raticate-alola,dark
raticate-totem-alola,dark
meowth-alola,dark
persian-alola,dark
grimer-alola,dark
muk-alola,dark
greninja-battle-bond,dark
greninja-ash,dark
moltres-galar,dark
zigzagoon-galar,dark
linoone-galar,dark
morpeko-hangry,dark
zarude-dada,dark
grimmsnarl-gmax,dark
urshifu-single-strike-gmax,dark
qwilfish-hisui,dark
samurott-hisui,dark
clefairy,fairy
clefable,fairy
jigglypuff,fairy
wigglytuff,fairy
mr-mime,fairy
cleffa,fairy
igglybuff,fairy
togepi,fairy
togetic,fairy
marill,fairy
azumarill,fairy
snubbull,fairy
granbull,fairy
ralts,fairy
kirlia,fairy
gardevoir,fairy
azurill,fairy
mawile,fairy
mime-jr,fairy
togekiss,fairy
cottonee,fairy
whimsicott,fairy
flabebe,fairy
floette,fairy
florges,fairy
spritzee,fairy
aromatisse,fairy
swirlix,fairy
slurpuff,fairy
sylveon,fairy
dedenne,fairy
carbink,fairy
klefki,fairy
xerneas,fairy
diancie,fairy
primarina,fairy
cutiefly,fairy
ribombee,fairy
morelull,fairy
shiinotic,fairy
comfey,fairy
mimikyu-disguised,fairy
tapu-koko,fairy
tapu-lele,fairy
tapu-bulu,fairy
tapu-fini,fairy
magearna,fairy
hatterene,fairy
impidimp,fairy
morgrem,fairy
grimmsnarl,fairy
milcery,fairy
alcremie,fairy
zacian,fairy
enamorus-incarnate,fairy
fidough,fairy
dachsbun,fairy
tinkatink,fairy
tinkatuff,fairy
tinkaton,fairy
scream-tail,fairy
flutter-mane,fairy
iron-valiant,fairy
fezandipiti,fairy
gardevoir-mega,fairy
mawile-mega,fairy
floette-eternal,fairy
altaria-mega,fairy
audino-mega,fairy
diancie-mega,fairy
ninetales-alola,fairy
mimikyu-busted,fairy
mimikyu-totem-disguised,fairy
mimikyu-totem-busted,fairy
magearna-original,fairy
ribombee-totem,fairy
rapidash-galar,fairy
weezing-galar,fairy
zacian-crowned,fairy
hatterene-gmax,fairy
grimmsnarl-gmax,fairy
alcremie-gmax,fairy
enamorus-therian,fairy
