power,stat,pokemon
45,speed,octillery
45,hp,delibird
55,attack,delibird
45,defense,delibird
65,special-attack,delibird
45,special-defense,delibird
75,speed,delibird
85,hp,mantine
40,attack,mantine
70,defense,mantine
80,special-attack,mantine
140,special-defense,mantine
70,speed,mantine
65,hp,skarmory
80,attack,skarmory
140,defense,skarmory
40,special-attack,skarmory
70,special-defense,skarmory
70,speed,skarmory
45,hp,houndour
60,attack,houndour
30,defense,houndour
80,special-attack,houndour
50,special-defense,houndour
65,speed,houndour
75,hp,houndoom
90,attack,houndoom
50,defense,houndoom
110,special-attack,houndoom
80,special-defense,houndoom
95,speed,houndoom
75,hp,kingdra
95,attack,kingdra
95,defense,kingdra
95,special-attack,kingdra
95,special-defense,kingdra
85,speed,kingdra
90,hp,phanpy
60,attack,phanpy
60,defense,phanpy
40,special-attack,phanpy
40,special-defense,phanpy
40,speed,phanpy
90,hp,donphan
120,attack,donphan
120,defense,donphan
60,special-attack,donphan
60,special-defense,donphan
50,speed,donphan
85,hp,porygon2
80,attack,porygon2
90,defense,porygon2
105,special-attack,porygon2
95,special-defense,porygon2
60,speed,porygon2
73,hp,stantler
95,attack,stantler
62,defense,stantler
85,special-attack,stantler
65,special-defense,stantler
85,speed,stantler
55,hp,smeargle
20,attack,smeargle
35,defense,smeargle
20,special-attack,smeargle
45,special-defense,smeargle
75,speed,smeargle
35,hp,tyrogue
35,attack,tyrogue
35,defense,tyrogue
35,special-attack,tyrogue
35,special-defense,tyrogue
35,speed,tyrogue
50,hp,hitmontop
95,attack,hitmontop
95,defense,hitmontop
35,special-attack,hitmontop
110,special-defense,hitmontop
70,speed,hitmontop
45,hp,smoochum
30,attack,smoochum
15,defense,smoochum
85,special-attack,smoochum
65,special-defense,smoochum
65,speed,smoochum
45,hp,elekid
63,attack,elekid
37,defense,elekid
65,special-attack,elekid
55,special-defense,elekid
95,speed,elekid
45,hp,magby
75,attack,magby
37,defense,magby
70,special-attack,magby
55,special-defense,magby
83,speed,magby
95,hp,miltank
80,attack,miltank
105,defense,miltank
40,special-attack,miltank
70,special-defense,miltank
100,speed,miltank
255,hp,blissey
10,attack,blissey
10,defense,blissey
75,special-attack,blissey
135,special-defense,blissey
55,speed,blissey
90,hp,raikou
85,attack,raikou
75,defense,raikou
115,special-attack,raikou
100,special-defense,raikou
115,speed,raikou
115,hp,entei
115,attack,entei
85,defense,entei
90,special-attack,entei
75,special-defense,entei
100,speed,entei
100,hp,suicune
75,attack,suicune
115,defense,suicune
90,special-attack,suicune
115,special-defense,suicune
85,speed,suicune
50,hp,larvitar
64,attack,larvitar
50,defense,larvitar
45,special-attack,larvitar
50,special-defense,larvitar
41,speed,larvitar
70,hp,pupitar
84,attack,pupitar
70,defense,pupitar
65,special-attack,pupitar
70,special-defense,pupitar
51,speed,pupitar
100,hp,tyranitar
134,attack,tyranitar
110,defense,tyranitar
95,special-attack,tyranitar
100,special-defense,tyranitar
61,speed,tyranitar
106,hp,lugia
90,attack,lugia
130,defense,lugia
90,special-attack,lugia
154,special-defense,lugia
110,speed,lugia
106,hp,ho-oh
130,attack,ho-oh
90,defense,ho-oh
110,special-attack,ho-oh
154,special-defense,ho-oh
90,speed,ho-oh
100,hp,celebi
100,attack,celebi
100,defense,celebi
100,special-attack,celebi
100,special-defense,celebi
100,speed,celebi
40,hp,treecko
45,attack,treecko
35,defense,treecko
65,special-attack,treecko
55,special-defense,treecko
70,speed,treecko
50,hp,grovyle
65,attack,grovyle
45,defense,grovyle
85,special-attack,grovyle
65,special-defense,grovyle
95,speed,grovyle
70,hp,sceptile
85,attack,sceptile
65,defense,sceptile
105,special-attack,sceptile
85,special-defense,sceptile
120,speed,sceptile
45,hp,torchic
60,attack,torchic
40,defense,torchic
70,special-attack,torchic
50,special-defense,torchic
45,speed,torchic
60,hp,combusken
85,attack,combusken
60,defense,combusken
85,special-attack,combusken
60,special-defense,combusken
55,speed,combusken
80,hp,blaziken
120,attack,blaziken
70,defense,blaziken
110,special-attack,blaziken
70,special-defense,blaziken
80,speed,blaziken
50,hp,mudkip
70,attack,mudkip
50,defense,mudkip
50,special-attack,mudkip
50,special-defense,mudkip
40,speed,mudkip
70,hp,marshtomp
85,attack,marshtomp
70,defense,marshtomp
60,special-attack,marshtomp
70,special-defense,marshtomp
50,speed,marshtomp
100,hp,swampert
110,attack,swampert
90,defense,swampert
85,special-attack,swampert
90,special-defense,swampert
60,speed,swampert
35,hp,poochyena
55,attack,poochyena
35,defense,poochyena
30,special-attack,poochyena
30,special-defense,poochyena
35,speed,poochyena
70,hp,mightyena
90,attack,mightyena
70,defense,mightyena
60,special-attack,mightyena
60,special-defense,mightyena
70,speed,mightyena
38,hp,zigzagoon
30,attack,zigzagoon
41,defense,zigzagoon
30,special-attack,zigzagoon
41,special-defense,zigzagoon
60,speed,zigzagoon
78,hp,linoone
70,attack,linoone
61,defense,linoone
50,special-attack,linoone
61,special-defense,linoone
100,speed,linoone
45,hp,wurmple
45,attack,wurmple
35,defense,wurmple
20,special-attack,wurmple
30,special-defense,wurmple
20,speed,wurmple
50,hp,silcoon
35,attack,silcoon
55,defense,silcoon
25,special-attack,silcoon
25,special-defense,silcoon
15,speed,silcoon
60,hp,beautifly
70,attack,beautifly
50,defense,beautifly
100,special-attack,beautifly
50,special-defense,beautifly
65,speed,beautifly
50,hp,cascoon
35,attack,cascoon
55,defense,cascoon
25,special-attack,cascoon
25,special-defense,cascoon
15,speed,cascoon
60,hp,dustox
50,attack,dustox
70,defense,dustox
50,special-attack,dustox
90,special-defense,dustox
65,speed,dustox
40,hp,lotad
30,attack,lotad
30,defense,lotad
40,special-attack,lotad
50,special-defense,lotad
30,speed,lotad
60,hp,lombre
50,attack,lombre
50,defense,lombre
60,special-attack,lombre
70,special-defense,lombre
50,speed,lombre
80,hp,ludicolo
70,attack,ludicolo
70,defense,ludicolo
90,special-attack,ludicolo
100,special-defense,ludicolo
70,speed,ludicolo
40,hp,seedot
40,attack,seedot
50,defense,seedot
30,special-attack,seedot
30,special-defense,seedot
30,speed,seedot
70,hp,nuzleaf
70,attack,nuzleaf
40,defense,nuzleaf
60,special-attack,nuzleaf
40,special-defense,nuzleaf
60,speed,nuzleaf
90,hp,shiftry
100,attack,shiftry
60,defense,shiftry
90,special-attack,shiftry
60,special-defense,shiftry
80,speed,shiftry
40,hp,taillow
55,attack,taillow
30,defense,taillow
30,special-attack,taillow
30,special-defense,taillow
85,speed,taillow
60,hp,swellow
85,attack,swellow
60,defense,swellow
75,special-attack,swellow
50,special-defense,swellow
125,speed,swellow
40,hp,wingull
30,attack,wingull
30,defense,wingull
55,special-attack,wingull
30,special-defense,wingull
85,speed,wingull
60,hp,pelipper
50,attack,pelipper
100,defense,pelipper
95,special-attack,pelipper
70,special-defense,pelipper
65,speed,pelipper
28,hp,ralts
25,attack,ralts
25,defense,ralts
45,special-attack,ralts
35,special-defense,ralts
40,speed,ralts
38,hp,kirlia
35,attack,kirlia
35,defense,kirlia
65,special-attack,kirlia
55,special-defense,kirlia
50,speed,kirlia
68,hp,gardevoir
65,attack,gardevoir
65,defense,gardevoir
125,special-attack,gardevoir
115,special-defense,gardevoir
80,speed,gardevoir
40,hp,surskit
30,attack,surskit
32,defense,surskit
50,special-attack,surskit
52,special-defense,surskit
65,speed,surskit
70,hp,masquerain
60,attack,masquerain
62,defense,masquerain
100,special-attack,masquerain
82,special-defense,masquerain
80,speed,masquerain
60,hp,shroomish
40,attack,shroomish
60,defense,shroomish
40,special-attack,shroomish
60,special-defense,shroomish
35,speed,shroomish
60,hp,breloom
130,attack,breloom
80,defense,breloom
60,special-attack,breloom
60,special-defense,breloom
70,speed,breloom
60,hp,slakoth
60,attack,slakoth
60,defense,slakoth
35,special-attack,slakoth
35,special-defense,slakoth
30,speed,slakoth
80,hp,vigoroth
80,attack,vigoroth
80,defense,vigoroth
55,special-attack,vigoroth
55,special-defense,vigoroth
90,speed,vigoroth
150,hp,slaking
160,attack,slaking
100,defense,slaking
95,special-attack,slaking
65,special-defense,slaking
100,speed,slaking
31,hp,nincada
45,attack,nincada
90,defense,nincada
30,special-attack,nincada
30,special-defense,nincada
40,speed,nincada
61,hp,ninjask
90,attack,ninjask
45,defense,ninjask
50,special-attack,ninjask
50,special-defense,ninjask
160,speed,ninjask
1,hp,shedinja
90,attack,shedinja
45,defense,shedinja
30,special-attack,shedinja
30,special-defense,shedinja
40,speed,shedinja
64,hp,whismur
51,attack,whismur
23,defense,whismur
51,special-attack,whismur
23,special-defense,whismur
28,speed,whismur
84,hp,loudred
71,attack,loudred
43,defense,loudred
71,special-attack,loudred
43,special-defense,loudred
48,speed,loudred
104,hp,exploud
91,attack,exploud
63,defense,exploud
91,special-attack,exploud
73,special-defense,exploud
68,speed,exploud
72,hp,makuhita
60,attack,makuhita
30,defense,makuhita
20,special-attack,makuhita
30,special-defense,makuhita
25,speed,makuhita
144,hp,hariyama
120,attack,hariyama
60,defense,hariyama
40,special-attack,hariyama
60,special-defense,hariyama
50,speed,hariyama
50,hp,azurill
20,attack,azurill
40,defense,azurill
20,special-attack,azurill
40,special-defense,azurill
20,speed,azurill
30,hp,nosepass
45,attack,nosepass
135,defense,nosepass
45,special-attack,nosepass
90,special-defense,nosepass
30,speed,nosepass
50,hp,skitty
45,attack,skitty
45,defense,skitty
35,special-attack,skitty
35,special-defense,skitty
50,speed,skitty
70,hp,delcatty
65,attack,delcatty
65,defense,delcatty
55,special-attack,delcatty
55,special-defense,delcatty
90,speed,delcatty
50,hp,sableye
75,attack,sableye
75,defense,sableye
65,special-attack,sableye
65,special-defense,sableye
50,speed,sableye
50,hp,mawile
85,attack,mawile
85,defense,mawile
55,special-attack,mawile
55,special-defense,mawile
50,speed,mawile
50,hp,aron
70,attack,aron
100,defense,aron
40,special-attack,aron
40,special-defense,aron
30,speed,aron
60,hp,lairon
90,attack,lairon
140,defense,lairon
50,special-attack,lairon
50,special-defense,lairon
40,speed,lairon
70,hp,aggron
110,attack,aggron
180,defense,aggron
60,special-attack,aggron
60,special-defense,aggron
50,speed,aggron
30,hp,meditite
40,attack,meditite
55,defense,meditite
40,special-attack,meditite
55,special-defense,meditite
60,speed,meditite
60,hp,medicham
60,attack,medicham
75,defense,medicham
60,special-attack,medicham
75,special-defense,medicham
80,speed,medicham
40,hp,electrike
45,attack,electrike
40,defense,electrike
65,special-attack,electrike
40,special-defense,electrike
65,speed,electrike
70,hp,manectric
75,attack,manectric
60,defense,manectric
105,special-attack,manectric
60,special-defense,manectric
105,speed,manectric
60,hp,plusle
50,attack,plusle
40,defense,plusle
85,special-attack,plusle
75,special-defense,plusle
95,speed,plusle
60,hp,minun
40,attack,minun
50,defense,minun
75,special-attack,minun
85,special-defense,minun
95,speed,minun
65,hp,volbeat
73,attack,volbeat
75,defense,volbeat
47,special-attack,volbeat
85,special-defense,volbeat
85,speed,volbeat
65,hp,illumise
47,attack,illumise
75,defense,illumise
73,special-attack,illumise
85,special-defense,illumise
85,speed,illumise
50,hp,roselia
60,attack,roselia
45,defense,roselia
100,special-attack,roselia
80,special-defense,roselia
65,speed,roselia
70,hp,gulpin
43,attack,gulpin
53,defense,gulpin
43,special-attack,gulpin
53,special-defense,gulpin
40,speed,gulpin
100,hp,swalot
73,attack,swalot
83,defense,swalot
73,special-attack,swalot
83,special-defense,swalot
55,speed,swalot
45,hp,carvanha
90,attack,carvanha
20,defense,carvanha
65,special-attack,carvanha
20,special-defense,carvanha
65,speed,carvanha
70,hp,sharpedo
120,attack,sharpedo
40,defense,sharpedo
95,special-attack,sharpedo
40,special-defense,sharpedo
95,speed,sharpedo
130,hp,wailmer
70,attack,wailmer
35,defense,wailmer
70,special-attack,wailmer
35,special-defense,wailmer
60,speed,wailmer
170,hp,wailord
90,attack,wailord
45,defense,wailord
90,special-attack,wailord
45,special-defense,wailord
60,speed,wailord
60,hp,numel
60,attack,numel
40,defense,numel
65,special-attack,numel
45,special-defense,numel
35,speed,numel
70,hp,camerupt
100,attack,camerupt
70,defense,camerupt
105,special-attack,camerupt
75,special-defense,camerupt
40,speed,camerupt
70,hp,torkoal
85,attack,torkoal
140,defense,torkoal
85,special-attack,torkoal
70,special-defense,torkoal
20,speed,torkoal
60,hp,spoink
25,attack,spoink
35,defense,spoink
70,special-attack,spoink
80,special-defense,spoink
60,speed,spoink
80,hp,grumpig
45,attack,grumpig
65,defense,grumpig
90,special-attack,grumpig
110,special-defense,grumpig
80,speed,grumpig
60,hp,spinda
60,attack,spinda
60,defense,spinda
60,special-attack,spinda
60,special-defense,spinda
60,speed,spinda
45,hp,trapinch
100,attack,trapinch
45,defense,trapinch
45,special-attack,trapinch
45,special-defense,trapinch
10,speed,trapinch
50,hp,vibrava
70,attack,vibrava
50,defense,vibrava
50,special-attack,vibrava
50,special-defense,vibrava
70,speed,vibrava
80,hp,flygon
100,attack,flygon
80,defense,flygon
80,special-attack,flygon
80,special-defense,flygon
100,speed,flygon
50,hp,cacnea
85,attack,cacnea
40,defense,cacnea
85,special-attack,cacnea
40,special-defense,cacnea
35,speed,cacnea
70,hp,cacturne
115,attack,cacturne
60,defense,cacturne
115,special-attack,cacturne
60,special-defense,cacturne
55,speed,cacturne
45,hp,swablu
40,attack,swablu
60,defense,swablu
40,special-attack,swablu
75,special-defense,swablu
50,speed,swablu
75,hp,altaria
70,attack,altaria
90,defense,altaria
70,special-attack,altaria
105,special-defense,altaria
80,speed,altaria
73,hp,zangoose
115,attack,zangoose
60,defense,zangoose
60,special-attack,zangoose
60,special-defense,zangoose
90,speed,zangoose
73,hp,seviper
100,attack,seviper
60,defense,seviper
100,special-attack,seviper
60,special-defense,seviper
65,speed,seviper
90,hp,lunatone
55,attack,lunatone
65,defense,lunatone
95,special-attack,lunatone
85,special-defense,lunatone
70,speed,lunatone
90,hp,solrock
95,attack,solrock
85,defense,solrock
55,special-attack,solrock
65,special-defense,solrock
70,speed,solrock
50,hp,barboach
48,attack,barboach
43,defense,barboach
46,special-attack,barboach
41,special-defense,barboach
60,speed,barboach
110,hp,whiscash
78,attack,whiscash
73,defense,whiscash
76,special-attack,whiscash
71,special-defense,whiscash
60,speed,whiscash
43,hp,corphish
80,attack,corphish
65,defense,corphish
50,special-attack,corphish
35,special-defense,corphish
35,speed,corphish
63,hp,crawdaunt
120,attack,crawdaunt
85,defense,crawdaunt
90,special-attack,crawdaunt
55,special-defense,crawdaunt
55,speed,crawdaunt
40,hp,baltoy
40,attack,baltoy
55,defense,baltoy
40,special-attack,baltoy
70,special-defense,baltoy
55,speed,baltoy
60,hp,claydol
70,attack,claydol
105,defense,claydol
70,special-attack,claydol
120,special-defense,claydol
75,speed,claydol
66,hp,lileep
41,attack,lileep
77,defense,lileep
61,special-attack,lileep
87,special-defense,lileep
23,speed,lileep
86,hp,cradily
81,attack,cradily
97,defense,cradily
81,special-attack,cradily
107,special-defense,cradily
43,speed,cradily
45,hp,anorith
95,attack,anorith
50,defense,anorith
40,special-attack,anorith
50,special-defense,anorith
75,speed,anorith
75,hp,armaldo
125,attack,armaldo
100,defense,armaldo
70,special-attack,armaldo
80,special-defense,armaldo
45,speed,armaldo
20,hp,feebas
15,attack,feebas
20,defense,feebas
10,special-attack,feebas
55,special-defense,feebas
80,speed,feebas
95,hp,milotic
60,attack,milotic
79,defense,milotic
100,special-attack,milotic
125,special-defense,milotic
81,speed,milotic
70,hp,castform
70,attack,castform
70,defense,castform
70,special-attack,castform
70,special-defense,castform
70,speed,castform
60,hp,kecleon
90,attack,kecleon
70,defense,kecleon
60,special-attack,kecleon
120,special-defense,kecleon
40,speed,kecleon
44,hp,shuppet
75,attack,shuppet
35,defense,shuppet
63,special-attack,shuppet
33,special-defense,shuppet
45,speed,shuppet
64,hp,banette
115,attack,banette
65,defense,banette
83,special-attack,banette
63,special-defense,banette
65,speed,banette
20,hp,duskull
40,attack,duskull
90,defense,duskull
30,special-attack,duskull
90,special-defense,duskull
25,speed,duskull
40,hp,dusclops
70,attack,dusclops
130,defense,dusclops
60,special-attack,dusclops
130,special-defense,dusclops
25,speed,dusclops
99,hp,tropius
68,attack,tropius
83,defense,tropius
72,special-attack,tropius
87,special-defense,tropius
51,speed,tropius
75,hp,chimecho
50,attack,chimecho
80,defense,chimecho
95,special-attack,chimecho
90,special-defense,chimecho
65,speed,chimecho
65,hp,absol
130,attack,absol
60,defense,absol
75,special-attack,absol
60,special-defense,absol
75,speed,absol
95,hp,wynaut
23,attack,wynaut
48,defense,wynaut
23,special-attack,wynaut
48,special-defense,wynaut
23,speed,wynaut
50,hp,snorunt
50,attack,snorunt
50,defense,snorunt
50,special-attack,snorunt
50,special-defense,snorunt
50,speed,snorunt
80,hp,glalie
80,attack,glalie
80,defense,glalie
80,special-attack,glalie
80,special-defense,glalie
80,speed,glalie
70,hp,spheal
40,attack,spheal
50,defense,spheal
55,special-attack,spheal
50,special-defense,spheal
25,speed,spheal
90,hp,sealeo
60,attack,sealeo
70,defense,sealeo
75,special-attack,sealeo
70,special-defense,sealeo
45,speed,sealeo
110,hp,walrein
80,attack,walrein
90,defense,walrein
95,special-attack,walrein
90,special-defense,walrein
65,speed,walrein
35,hp,clamperl
64,attack,clamperl
85,defense,clamperl
74,special-attack,clamperl
55,special-defense,clamperl
32,speed,clamperl
55,hp,huntail
104,attack,huntail
105,defense,huntail
94,special-attack,huntail
75,special-defense,huntail
52,speed,huntail
55,hp,gorebyss
84,attack,gorebyss
105,defense,gorebyss
114,special-attack,gorebyss
75,special-defense,gorebyss
52,speed,gorebyss
100,hp,relicanth
90,attack,relicanth
130,defense,relicanth
45,special-attack,relicanth
65,special-defense,relicanth
55,speed,relicanth
43,hp,luvdisc
30,attack,luvdisc
55,defense,luvdisc
40,special-attack,luvdisc
65,special-defense,luvdisc
97,speed,luvdisc
45,hp,bagon
75,attack,bagon
60,defense,bagon
40,special-attack,bagon
30,special-defense,bagon
50,speed,bagon
65,hp,shelgon
95,attack,shelgon
100,defense,shelgon
60,special-attack,shelgon
50,special-defense,shelgon
50,speed,shelgon
95,hp,salamence
135,attack,salamence
80,defense,salamence
110,special-attack,salamence
80,special-defense,salamence
100,speed,salamence
40,hp,beldum
55,attack,beldum
80,defense,beldum
35,special-attack,beldum
60,special-defense,beldum
30,speed,beldum
60,hp,metang
75,attack,metang
100,defense,metang
55,special-attack,metang
80,special-defense,metang
50,speed,metang
80,hp,metagross
135,attack,metagross
130,defense,metagross
95,special-attack,metagross
90,special-defense,metagross
70,speed,metagross
80,hp,regirock
100,attack,regirock
200,defense,regirock
50,special-attack,regirock
100,special-defense,regirock
50,speed,regirock
80,hp,regice
50,attack,regice
100,defense,regice
100,special-attack,regice
200,special-defense,regice
50,speed,regice
80,hp,registeel
75,attack,registeel
150,defense,registeel
75,special-attack,registeel
150,special-defense,registeel
50,speed,registeel
80,hp,latias
80,attack,latias
90,defense,latias
110,special-attack,latias
130,special-defense,latias
110,speed,latias
80,hp,latios
90,attack,latios
80,defense,latios
130,special-attack,latios
110,special-defense,latios
110,speed,latios
100,hp,kyogre
100,attack,kyogre
90,defense,kyogre
150,special-attack,kyogre
140,special-defense,kyogre
90,speed,kyogre
100,hp,groudon
150,attack,groudon
140,defense,groudon
100,special-attack,groudon
90,special-defense,groudon
90,speed,groudon
105,hp,rayquaza
150,attack,rayquaza
90,defense,rayquaza
150,special-attack,rayquaza
90,special-defense,rayquaza
95,speed,rayquaza
100,hp,jirachi
100,attack,jirachi
100,defense,jirachi
100,special-attack,jirachi
100,special-defense,jirachi
100,speed,jirachi
50,hp,deoxys-normal
150,attack,deoxys-normal
50,defense,deoxys-normal
150,special-attack,deoxys-normal
50,special-defense,deoxys-normal
150,speed,deoxys-normal
55,hp,turtwig
68,attack,turtwig
64,defense,turtwig
45,special-attack,turtwig
55,special-defense,turtwig
31,speed,turtwig
75,hp,grotle
89,attack,grotle
85,defense,grotle
55,special-attack,grotle
65,special-defense,grotle
36,speed,grotle
95,hp,torterra
109,attack,torterra
105,defense,torterra
75,special-attack,torterra
85,special-defense,torterra
56,speed,torterra
44,hp,chimchar
58,attack,chimchar
44,defense,chimchar
58,special-attack,chimchar
44,special-defense,chimchar
61,speed,chimchar
64,hp,monferno
78,attack,monferno
52,defense,monferno
78,special-attack,monferno
52,special-defense,monferno
81,speed,monferno
76,hp,infernape
104,attack,infernape
71,defense,infernape
104,special-attack,infernape
71,special-defense,infernape
108,speed,infernape
53,hp,piplup
51,attack,piplup
53,defense,piplup
61,special-attack,piplup
56,special-defense,piplup
40,speed,piplup
64,hp,prinplup
66,attack,prinplup
68,defense,prinplup
81,special-attack,prinplup
76,special-defense,prinplup
50,speed,prinplup
84,hp,empoleon
86,attack,empoleon
88,defense,empoleon
111,special-attack,empoleon
101,special-defense,empoleon
60,speed,empoleon
40,hp,starly
55,attack,starly
30,defense,starly
30,special-attack,starly
30,special-defense,starly
60,speed,starly
55,hp,staravia
75,attack,staravia
50,defense,staravia
40,special-attack,staravia
40,special-defense,staravia
80,speed,staravia
85,hp,staraptor
120,attack,staraptor
70,defense,staraptor
50,special-attack,staraptor
60,special-defense,staraptor
100,speed,staraptor
59,hp,bidoof
45,attack,bidoof
40,defense,bidoof
35,special-attack,bidoof
40,special-defense,bidoof
31,speed,bidoof
79,hp,bibarel
85,attack,bibarel
60,defense,bibarel
55,special-attack,bibarel
60,special-defense,bibarel
71,speed,bibarel
37,hp,kricketot
25,attack,kricketot
41,defense,kricketot
25,special-attack,kricketot
41,special-defense,kricketot
25,speed,kricketot
77,hp,kricketune
85,attack,kricketune
51,defense,kricketune
55,special-attack,kricketune
51,special-defense,kricketune
65,speed,kricketune
45,hp,shinx
65,attack,shinx
34,defense,shinx
40,special-attack,shinx
34,special-defense,shinx
45,speed,shinx
60,hp,luxio
85,attack,luxio
49,defense,luxio
60,special-attack,luxio
49,special-defense,luxio
60,speed,luxio
80,hp,luxray
120,attack,luxray
79,defense,luxray
95,special-attack,luxray
79,special-defense,luxray
70,speed,luxray
40,hp,budew
30,attack,budew
35,defense,budew
50,special-attack,budew
70,special-defense,budew
55,speed,budew
60,hp,roserade
70,attack,roserade
65,defense,roserade
125,special-attack,roserade
105,special-defense,roserade
90,speed,roserade
67,hp,cranidos
125,attack,cranidos
40,defense,cranidos
30,special-attack,cranidos
30,special-defense,cranidos
58,speed,cranidos
97,hp,rampardos
165,attack,rampardos
60,defense,rampardos
65,special-attack,rampardos
50,special-defense,rampardos
58,speed,rampardos
30,hp,shieldon
42,attack,shieldon
118,defense,shieldon
42,special-attack,shieldon
88,special-defense,shieldon
30,speed,shieldon
60,hp,bastiodon
52,attack,bastiodon
168,defense,bastiodon
47,special-attack,bastiodon
138,special-defense,bastiodon
30,speed,bastiodon
40,hp,burmy
29,attack,burmy
45,defense,burmy
29,special-attack,burmy
45,special-defense,burmy
36,speed,burmy
60,hp,wormadam-plant
59,attack,wormadam-plant
85,defense,wormadam-plant
79,special-attack,wormadam-plant
105,special-defense,wormadam-plant
36,speed,wormadam-plant
70,hp,mothim
94,attack,mothim
50,defense,mothim
94,special-attack,mothim
50,special-defense,mothim
66,speed,mothim
30,hp,combee
30,attack,combee
42,defense,combee
30,special-attack,combee
42,special-defense,combee
70,speed,combee
70,hp,vespiquen
80,attack,vespiquen
102,defense,vespiquen
80,special-attack,vespiquen
102,special-defense,vespiquen
40,speed,vespiquen
60,hp,pachirisu
45,attack,pachirisu
70,defense,pachirisu
45,special-attack,pachirisu
90,special-defense,pachirisu
95,speed,pachirisu
55,hp,buizel
65,attack,buizel
35,defense,buizel
60,special-attack,buizel
30,special-defense,buizel
85,speed,buizel
85,hp,floatzel
105,attack,floatzel
55,defense,floatzel
85,special-attack,floatzel
50,special-defense,floatzel
115,speed,floatzel
45,hp,cherubi
35,attack,cherubi
45,defense,cherubi
62,special-attack,cherubi
53,special-defense,cherubi
35,speed,cherubi
70,hp,cherrim
60,attack,cherrim
70,defense,cherrim
87,special-attack,cherrim
78,special-defense,cherrim
85,speed,cherrim
76,hp,shellos
48,attack,shellos
48,defense,shellos
57,special-attack,shellos
62,special-defense,shellos
34,speed,shellos
111,hp,gastrodon
83,attack,gastrodon
68,defense,gastrodon
92,special-attack,gastrodon
82,special-defense,gastrodon
39,speed,gastrodon
75,hp,ambipom
100,attack,ambipom
66,defense,ambipom
60,special-attack,ambipom
66,special-defense,ambipom
115,speed,ambipom
90,hp,drifloon
50,attack,drifloon
34,defense,drifloon
60,special-attack,drifloon
44,special-defense,drifloon
70,speed,drifloon
150,hp,drifblim
80,attack,drifblim
44,defense,drifblim
90,special-attack,drifblim
54,special-defense,drifblim
80,speed,drifblim
55,hp,buneary
66,attack,buneary
44,defense,buneary
44,special-attack,buneary
56,special-defense,buneary
85,speed,buneary
65,hp,lopunny
76,attack,lopunny
84,defense,lopunny
54,special-attack,lopunny
96,special-defense,lopunny
105,speed,lopunny
60,hp,mismagius
60,attack,mismagius
60,defense,mismagius
105,special-attack,mismagius
105,special-defense,mismagius
105,speed,mismagius
100,hp,honchkrow
125,attack,honchkrow
52,defense,honchkrow
105,special-attack,honchkrow
52,special-defense,honchkrow
71,speed,honchkrow
49,hp,glameow
55,attack,glameow
42,defense,glameow
42,special-attack,glameow
37,special-defense,glameow
85,speed,glameow
71,hp,purugly
82,attack,purugly
64,defense,purugly
64,special-attack,purugly
59,special-defense,purugly
112,speed,purugly
45,hp,chingling
30,attack,chingling
50,defense,chingling
65,special-attack,chingling
50,special-defense,chingling
45,speed,chingling
63,hp,stunky
63,attack,stunky
47,defense,stunky
41,special-attack,stunky
41,special-defense,stunky
74,speed,stunky
103,hp,skuntank
93,attack,skuntank
67,defense,skuntank
71,special-attack,skuntank
61,special-defense,skuntank
84,speed,skuntank
57,hp,bronzor
24,attack,bronzor
86,defense,bronzor
24,special-attack,bronzor
86,special-defense,bronzor
23,speed,bronzor
67,hp,bronzong
89,attack,bronzong
116,defense,bronzong
79,special-attack,bronzong
116,special-defense,bronzong
33,speed,bronzong
50,hp,bonsly
80,attack,bonsly
95,defense,bonsly
10,special-attack,bonsly
45,special-defense,bonsly
10,speed,bonsly
20,hp,mime-jr
25,attack,mime-jr
45,defense,mime-jr
70,special-attack,mime-jr
90,special-defense,mime-jr
60,speed,mime-jr
100,hp,happiny
5,attack,happiny
5,defense,happiny
15,special-attack,happiny
65,special-defense,happiny
30,speed,happiny
76,hp,chatot
65,attack,chatot
45,defense,chatot
92,special-attack,chatot
42,special-defense,chatot
91,speed,chatot
50,hp,spiritomb
92,attack,spiritomb
108,defense,spiritomb
92,special-attack,spiritomb
108,special-defense,spiritomb
35,speed,spiritomb
58,hp,gible
70,attack,gible
45,defense,gible
40,special-attack,gible
45,special-defense,gible
42,speed,gible
68,hp,gabite
90,attack,gabite
65,defense,gabite
50,special-attack,gabite
55,special-defense,gabite
82,speed,gabite
108,hp,garchomp
130,attack,garchomp
95,defense,garchomp
80,special-attack,garchomp
85,special-defense,garchomp
102,speed,garchomp
135,hp,munchlax
85,attack,munchlax
40,defense,munchlax
40,special-attack,munchlax
85,special-defense,munchlax
5,speed,munchlax
40,hp,riolu
70,attack,riolu
40,defense,riolu
35,special-attack,riolu
40,special-defense,riolu
60,speed,riolu
70,hp,lucario
110,attack,lucario
70,defense,lucario
115,special-attack,lucario
70,special-defense,lucario
90,speed,lucario
68,hp,hippopotas
72,attack,hippopotas
78,defense,hippopotas
38,special-attack,hippopotas
42,special-defense,hippopotas
32,speed,hippopotas
108,hp,hippowdon
112,attack,hippowdon
118,defense,hippowdon
68,special-attack,hippowdon
72,special-defense,hippowdon
47,speed,hippowdon
40,hp,skorupi
50,attack,skorupi
90,defense,skorupi
30,special-attack,skorupi
55,special-defense,skorupi
65,speed,skorupi
70,hp,drapion
90,attack,drapion
110,defense,drapion
60,special-attack,drapion
